industry,number_of_layoffs
Other,119746.0
Retail,106306.0
Hardware,106157.0
Consumer,96712.0
Finance,67565.0
Transportation,66002.0
Food,52091.0
Healthcare,39244.0
Infrastructure,24835.0
Travel,23740.0
Sales,21905.0
Education,21002.0
Real Estate,20646.0
HR,16157.0
Crypto,15593.0
Marketing,14835.0
Security,14350.0
Data,13276.0
Media,11573.0
Fitness,10146.0
Energy,9880.0
Manufacturing,9280.0
Support,8481.0
Logistics,8165.0
Recruiting,6732.0
Construction,3977.0
Aerospace,3472.0
AI,3000.0
Product,2219.0
Legal,1056.0
Unknown,35.0
